Run,Biological_materials,HBV_genotype,Percent_HBV_RNA
SRR3140473,PVTT,B,9.396292968700001
SRR3140474,PVTT,B,9.037178125
SRR3140475,PVTT,B,6.1959515625
SRR3140476,PVTT,B,10.2007701171
SRR3140477,PVTT,B,6.355728125
SRR3140488,PVTT,C,0.679542041
SRR3140490,PVTT,C,0.6492787109
SRR3140496,PVTT,C,97.7172300781
SRR3140497,PVTT,C,97.6186415039
SRR3140498,PVTT,C,97.02252001949999
SRR3140499,PVTT,C,97.7728642578
SRR3140504,PVTT,C,3.9211246094
SRR3140505,PVTT,C,0.2268158447
SRR3140506,PVTT,C,0.3719943115
SRR3140507,PVTT,C,0.9060513184
SRR3140508,PVTT,C,0.1959060303
SRR3140509,PVTT,C,0.2895606689
SRR3140510,PVTT,C,22.8074260742
SRR3140511,PVTT,C,14.7714478516
SRR3140512,PVTT,C,3.4955233398
SRR3140514,PVTT,C,13.9339089356
SRR3140515,PVTT,C,6.9575299804999995
SRR3140516,PVTT,C,7.7184363281
SRR3140519,PVTT,C,6.8968275391
SRR3140520,PVTT,C,5.6923363281
SRR5145364,PHH,D,46.52563125
SRR5145366,PHH,D,42.801315625
SRR5145367,PHH,D,33.4360242188
SRR5145368,PHH,D,12.5410513672
SRR5145369,PHH,D,22.0338940063
SRR5145370,PHH,D,21.6749539123
SRR5145371,PHH,D,22.3592119462
SRR5145372,PHH,D,18.7431397888
SRR5145387,PHH,D,63.90551875
SRR5145388,PHH,D,15.4144828125
SRR5145389,PHH,D,47.771190625
SRR5145390,PHH,D,20.781862477
SRR5145391,PHH,D,13.6694683595
SRR5145392,PHH,D,23.0038099364
SRR5145393,PHH,D,25.5034058381
SRR5145394,PHH,D,22.0194724959
SRR5145395,PHH,D,19.7975859711
SRR5145396,PHH,D,18.9047734619
SRR5145413,PHH,D,20.6272751585
SRR5145415,PHH,D,20.9985901887
SRR5145418,PHH,D,47.2314515625
SRR5237615,Tumor,C,3.2355787353
SRR5237616,Tissue,C,21.0221912247
SRR5237620,Tissue,C,0.2105192627
SRR5237621,Tumor,B,7.7748570313
SRR5237622,Tissue,B,5.037373693799999
SRR5237624,Tissue,B,1.4113048462
SRR5237626,Tissue,C,0.3197778259
SRR5237627,Tumor,C,20.2610043823
SRR5237628,Tissue,C,0.1322848267
SRR5237629,Tumor,C,11.2795578949
SRR5237630,Tissue,C,17.001052954200002
SRR5237632,Tissue,A,0.4117705078
SRR5237635,Tumor,C,0.7810565796
SRR5237636,Tissue,C,1.2439118408
SRR5237637,Tumor,B,0.0776410767
SRR5237638,Tissue,B,0.1466575928
SRR5237639,Tumor,C,26.0345326661
SRR5237640,Tissue,C,9.3660180177
SRR5237641,Tumor,B,0.8541038635
SRR5237642,Tissue,B,0.5414731446
SRR5237643,Tumor,B,0.8184595214
SRR5237649,Tumor,C,0.5167708923
SRR5237650,Tissue,C,16.2891481077
SRR5237651,Tumor,B,0.7556670044
SRR5237652,Tissue,B,0.8363867675000001
SRR5237653,Tumor,C,0.4787010376
SRR5237654,Tissue,C,10.4229717102
SRR5237656,Tissue,B,1.0987321289
SRR5992871,PHH,D,13.7887042876
SRR5992872,PHH,D,13.7860045333
SRR5992873,PHH,D,14.1326782914
SRR5992874,PHH,D,13.5281064223
SRR5992875,PHH,D,14.165033578600001
SRR5992876,PHH,D,13.410655564899999
SRR5992877,PHH,D,14.1856796724
SRR5992878,PHH,D,13.754151806700001
SRR5992879,PHH,D,14.3923846893
SRR5992880,PHH,D,13.331594548
